Population inc,Seafood,GDP,Landings,Landings-1,Exploitation,Exploitation -1,SST,AMO,MEI,Chlorophyll,Freshwater,Wind,GS,NAO_w,GDP inc
0.114699476,22.6342408,0.601450295,2.879815831,2.568398473,0.775984381,0.528692654,12.448125,-0.012583333,0.54725,,0.197700405,0.0372,-0.2557,0.56,0.104601694
0.383489377,22.4074448,0.67120105,2.83780048,2.879815831,0.576943436,0.775984381,12.27333333,-0.070666667,0.061083333,,0.239980203,0.0414,-0.6132,2.05,0.115970938
0.294476051,23.4507064,0.726799545,2.683685018,2.83780048,0.439124386,0.576943436,12.28770833,-0.206333333,1.092083333,,0.255022818,0.0317,-0.9917,0.8,0.082834339
0.552235039,23.9042984,0.803564136,2.370758075,2.683685018,0.418158888,0.439124386,12.69666667,-0.064833333,1.598833333,,0.331032098,0.0289,0.0089,3.42,0.105620032
0.608948617,24.0857352,0.917063694,2.317154055,2.370758075,0.500500433,0.418158888,12.54270833,-0.200916667,-0.149416667,,0.337167111,0.0427,0.4655,1.6,0.141245176
0.54649503,28.803092,1.00183421,2.237942329,2.317154055,0.558313497,0.500500433,12.98885417,-0.25925,-0.398416667,,0.19677473,0.0295,1.055,-0.63,0.09243689
0.671515466,27.0794424,1.091131419,2.281436548,2.237942329,0.348533338,0.558313497,12.58916667,-0.264833333,0.448916667,,0.253737417,0.0478,-0.2552,0.5,0.089133719
0.761596956,29.3927616,1.194848522,2.393827122,2.281436548,0.609306061,0.348533338,12.07645833,0.0715,1.649166667,,0.250767357,0.0235,-0.466,-0.75,0.095054639
0.810741533,27.0794424,1.307900487,2.456024486,2.393827122,0.4702344,0.609306061,11.69041667,0.005166667,-0.53225,,0.195698844,0.0301,0.0149,0.72,0.094616148
0.594319151,28.3948592,1.373973592,2.835576361,2.456024486,0.509078615,0.4702344,12.19302083,-0.07275,-0.550583333,,0.2728393,0.0378,0.3077,5.08,0.05051845
0.598973951,29.6649168,1.405508169,2.960839426,2.835576361,0.753291225,0.509078615,12.51760417,-0.025416667,0.383916667,,0.332309564,0.0437,0.6383,3.96,0.022951371
0.76204662,29.3927616,1.41808693,3.16390401,2.960839426,0.498399056,0.753291225,12.62395833,-0.121666667,0.802333333,,0.249657491,0.0391,1.0371,1.03,0.008949618
0.811653568,28.576296,1.477464591,3.088397935,3.16390401,0.644334669,0.498399056,11.6675,-0.2105,1.30375,,0.234297745,0.045,1.0111,3.28,0.041871665
0.886251053,35.7430496,1.52262539,3.088708957,3.088397935,0.570453566,0.644334669,12.02520833,-0.200666667,1.087333333,,0.288415179,0.0512,0.7524,2.67,0.030566417
0.755391412,33.6111672,1.613745273,2.711178141,3.088708957,0.650734518,0.570453566,12.2284375,-0.160083333,0.72675,,0.292179078,0.036,1.2598,3.03,0.059843927
0.729822406,28.4402184,1.722653537,2.684606782,2.711178141,0.694873236,0.650734518,12.09489583,0.148083333,0.197916667,,0.219983133,0.0524,1.8608,3.96,0.06748789
0.709571722,28.1680632,1.824755612,2.715873007,2.684606782,0.672588586,0.694873236,11.4625,-0.046416667,-0.347,,0.405595746,0.0698,-0.1228,-3.78,0.059270232
0.708240508,28.9845288,1.99279236,2.81760517,2.715873007,0.558575517,0.672588586,11.81270833,0.06475,1.543666667,,0.235062675,0.0561,-0.3263,-0.17,0.092087262
0.758837105,28.3495,2.121330137,2.699938589,2.81760517,0.594265054,0.558575517,12.17239583,0.388833333,0.848166667,0.7138993,0.301895066,0.0448,-0.5992,0.72,0.06450134
0.845529024,28.8938104,2.239033383,2.580824123,2.699938589,0.619093774,0.594265054,13.04822917,0.14,-0.926916667,0.791152975,0.217927857,0.0393,-0.1234,1.7,0.055485586
0.841615269,27.8505488,2.434714798,2.700396728,2.580824123,0.548619798,0.619093774,12.54177083,0.046666667,-0.531583333,0.835392625,0.257159628,0.0659,1.1881,2.8,0.087395488
0.724990246,28.8484512,2.506145182,2.938826006,2.700396728,0.599041034,0.548619798,12.661875,0.1415,-0.15325,0.7900669,0.179254634,0.0625,1.2592,-1.9,0.029338296
0.668709533,29.937072,2.566090409,2.773889828,2.938826006,0.586327133,0.599041034,13.01072917,0.086333333,0.580583333,0.780225925,0.19225618,0.0545,0.8922,0.76,0.023919295
0.562897425,30.9349744,2.674574152,2.40237168,2.773889828,0.332352638,0.586327133,12.12770833,0.252083333,0.45275,0.77160985,0.352151615,0.0303,-0.0524,0.2,0.042275885
0.509217029,31.4339256,2.845637925,3.074599994,2.40237168,0.563987817,0.332352638,12.32760417,0.225916667,0.4125,0.712452375,0.279128343,0.0537,-0.7442,-0.07,0.063959256
0.442002578,31.3432072,2.969810511,2.546051538,3.074599994,0.495852085,0.563987817,12.38145833,0.31175,0.320166667,0.746292575,0.336452505,0.045,-0.1512,0.12,0.043636116
0.558741826,31.7060808,3.119698959,2.497434342,2.546051538,0.448766543,0.495852085,12.94166667,0.287083333,0.303166667,0.9072788,0.329459725,0.0364,0.5969,-1.09,0.050470711
0.580802268,30.7988968,3.278520819,2.421711297,2.497434342,0.396404454,0.448766543,12.5515625,0.169166667,-0.334833333,0.849885225,0.248332958,0.0599,0.37,2.79,0.050909354
0.699136694,28.6670144,3.289678356,2.383634898,2.421711297,0.405710405,0.396404454,12.53333333,0.160333333,-0.681833333,0.81723115,0.329317868,0.0463,-0.1878,2.1,0.003403223
0.705769319,27.895908,3.260312531,2.278297433,2.383634898,0.371577224,0.405710405,12.65729167,0.0625,0.391583333,0.865331925,0.290863387,0.0553,0.0989,-0.41,-0.008926655
0.669852713,28.8484512,3.368588627,2.218001272,2.278297433,0.35767711,0.371577224,12.97989583,0.375083333,-0.423583333,0.6777465,0.279683287,,-0.1681,-4.64,0.033210343
0.584337359,30.7081784,3.449063168,2.569961363,2.218001272,0.410414566,0.35767711,12.7871875,0.126416667,-0.919333333,0.858376875,0.371170385,,-0.8181,-1.57,0.023889691
0.516557764,29.9824312,3.566152703,2.531056161,2.569961363,0.383101752,0.410414566,12.7725,0.2335,0.14925,0.912005675,0.221974231,,0.8203,3.17,0.033948214
,30.1185088,3.627357653,1.755857999,2.531056161,0.22001392,0.383101752,11.333975,0.1728,-0.158,0.788992875,,,0.1266,-1.97,0.01716274
